description,category
"PYMT SENT APPLE CASH SENT MONEY CUPERTINO CA 0812","Transfers & Cash"
"SAMA GOURMET MARKET NEW YORK NY 04/04","Groceries"
"Amazon.com*B78CZ2PF2 Amzn.com/bill WA 04/04","Shopping"
"ATM CASH DEPOSIT 04/06 940 EASTON AVE SOMERSET NJ","Transfers & Cash"
"ATM CASH DEPOSIT 04/04 475 MAIN ST METUCHEN NJ","Transfers & Cash"
"CHATURBILL 888-384-084 888-3840848 CA 03/23","Subscriptions"
"CHATURBILL 888-384-0848 CA 03/24","Subscriptions"
"CHATURBILL 888-384-0848 CA 03/23","Subscriptions"
"APPLE CASH SENT MONE 1INFINITELOOP CA 03/23","Transfers & Cash"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21GRAU C12","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20HOGAR Y S","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21T5113 LAR","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21CIGARRERI","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20IZI*POS H","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21CREACIONE","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20NIKE LARC","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21ARTESANIA","Fees"
"FD Sptsbk Casino payment 41U3279JVQ WEB ID: 2852295126","Entertainment & Gaming"
"ARTESANIAS DOFF BOGOTA 03/21 CO Peso 99000.00 X 0.000270808 (EXCHG RTE)","Shopping"
"CREACIONES MIPELLE BOGOTA 03/21 CO Peso 84900.00 X 0.000270789 (EXCHG RTE)","Shopping"
"CIGARRERIA INTERNACION BOGOTA 03/21 CO Peso 51000.00 X 0.000270784 (EXCHG RTE)","Groceries"
"MPOS-AVIANCA PANAMA 03/21","Travel"
"QUIPU CALLAO 03/21","Food & Dining"
"LA LUCHA CALLAO 03/21","Food & Dining"
"GRAU C12 LIMA 03/21 Nuevo Sol 2.29 X 0.2882096 (EXCHG RTE)","Shopping"
"T5113 LARCO LIMA 03/21 Nuevo Sol 29.90 X 0.2876254 (EXCHG RTE)","Shopping"
"HOGAR Y SALUD - MIR Puente Piedra 03/20 Nuevo Sol 21.50 X 0.2874419 (EXCHG RTE)","Health & Fitness"
"NIKE LARCOMAR LIMA 03/20 Nuevo Sol 91.70 X 0.2874591 (EXCHG RTE)","Shopping"
"IZI*POS HOTEL LLAQTA WA LIMA 03/20 Nuevo Sol 63.00 X 0.2893651 (EXCHG RTE)","Travel"
"RUMBO PERU - CUSCO CUSCO 03/20","Travel"
"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597 FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: RNU403ACAOP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20260323051504597P1BB05091722801239 RECD: 09:17:24 TRN: 0462822082GE","Income"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/19FARMACIA","Fees"
"FARMACIA IMPERIAL Wanchaq 03/19 Nuevo Sol 78.00 X 0.2919231 (EXCHG RTE)","Health & Fitness"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 667727 03/19PRL AV LA","Fees"
"NON-CHASE ATM FEE-WITH","Fees"
"NON-CHASE ATM WITHDRAW 667727 03/19PRL AV LA Nuevo Sol 400.00 X 0.2919059 (EXCHG RTE)","Transfers & Cash"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/16FARMACIA","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/16CONSETTUR","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/15IZI*KASAS","Fees"
"APPLE.COM/BILL 866-712-7753 CA 03/17","Subscriptions"
"FARMACIA IMPERIAL Wanchaq 03/16 Nuevo Sol 78.00 X 0.2885897 (EXCHG RTE)","Health & Fitness"
"CONSETTUR MACHUPICCHU CUSCO 03/16 Nuevo Sol 82.87 X 0.2886449 (EXCHG RTE)","Travel"
"IZI*KASAS DEL INKA MACH LIMA 03/15 Nuevo Sol 136.20 X 0.2886197 (EXCHG RTE)","Travel"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13CIGARRERI","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13ALPES BAR","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13WONG BAJA","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14EL MORDIS","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14CHANGO CU","Fees"
"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14FARMACIA","Fees"
"NON-CHASE ATM WITHDRAW 727425 03/15AV VENTI","Transfers & Cash"
"CHANGO CUSCO 03/14 Nuevo Sol 48.00 X 0.2885417 (EXCHG RTE)","Food & Dining"
"EL MORDISCO Cusco 03/14 Nuevo Sol 46.80 X 0.2886752 (EXCHG RTE)","Food & Dining"
