details,posting_date,description,amount,type,balance,category
DEBIT,2026-04-07,PYMT SENT APPLE CASH SENT MONEY CUPERTINO CA 0812,-7.75,MISC_DEBIT,,Transfers & Cash
DEBIT,2026-04-07,PYMT SENT APPLE CASH SENT MONEY CUPERTINO CA 0812,-2.5,MISC_DEBIT,,Transfers & Cash
DEBIT,2026-04-06,SAMA GOURMET MARKET NEW YORK NY 04/04,-8.32,DEBIT_CARD,24.9,Groceries
DEBIT,2026-04-06,Amazon.com*B78CZ2PF2 Amzn.com/bill WA 04/04,-25.0,DEBIT_CARD,33.22,Shopping
CREDIT,2026-04-06,ATM CASH DEPOSIT 04/06 940 EASTON AVE SOMERSET NJ,20.0,ATM,58.22,Transfers & Cash
CREDIT,2026-04-06,ATM CASH DEPOSIT 04/04 475 MAIN ST METUCHEN NJ,40.0,ATM,38.22,Transfers & Cash
DEBIT,2026-03-25,CHATURBILL 888-384-084 888-3840848 CA 03/23,-10.99,DEBIT_CARD,-1.78,Subscriptions
DEBIT,2026-03-25,CHATURBILL 888-384-0848 CA 03/24,-20.99,DEBIT_CARD,9.21,Subscriptions
DEBIT,2026-03-24,CHATURBILL 888-384-0848 CA 03/23,-10.99,DEBIT_CARD,30.2,Subscriptions
DEBIT,2026-03-24,CHATURBILL 888-384-0848 CA 03/23,-39.99,DEBIT_CARD,41.19,Subscriptions
DEBIT,2026-03-24,CHATURBILL 888-384-0848 CA 03/23,-10.99,DEBIT_CARD,81.18,Subscriptions
DEBIT,2026-03-24,APPLE CASH SENT MONE 1INFINITELOOP CA 03/23,-15.0,DEBIT_CARD,92.17,Transfers & Cash
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21GRAU C12,-0.01,FEE_TRANSACTION,107.17,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20HOGAR Y S,-0.18,FEE_TRANSACTION,107.18,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21T5113 LAR,-0.25,FEE_TRANSACTION,107.36,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21CIGARRERI,-0.41,FEE_TRANSACTION,107.61,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20IZI*POS H,-0.54,FEE_TRANSACTION,108.02,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21CREACIONE,-0.68,FEE_TRANSACTION,108.56,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/20NIKE LARC,-0.79,FEE_TRANSACTION,109.24,Fees
DEBIT,2026-03-23,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/21ARTESANIA,-0.8,FEE_TRANSACTION,110.03,Fees
DEBIT,2026-03-23,FD Sptsbk Casino payment 41U3279JVQ WEB ID: 2852295126,-8.0,MISC_DEBIT,110.83,Entertainment & Gaming
DEBIT,2026-03-23,ARTESANIAS DOFF BOGOTA 03/21 CO Peso 99000.00 X 0.000270808 (EXCHG RTE),-26.81,DEBIT_CARD,118.83,Shopping
DEBIT,2026-03-23,CREACIONES MIPELLE BOGOTA 03/21 CO Peso 84900.00 X 0.000270789 (EXCHG RTE),-22.99,DEBIT_CARD,145.64,Shopping
DEBIT,2026-03-23,CIGARRERIA INTERNACION BOGOTA 03/21 CO Peso 51000.00 X 0.000270784 (EXCHG RTE),-13.81,DEBIT_CARD,168.63,Groceries
DEBIT,2026-03-23,MPOS-AVIANCA PANAMA 03/21,-5.0,DEBIT_CARD,182.44,Travel
DEBIT,2026-03-23,QUIPU CALLAO 03/21,-5.02,DEBIT_CARD,187.44,Food & Dining
DEBIT,2026-03-23,LA LUCHA CALLAO 03/21,-10.0,DEBIT_CARD,192.46,Food & Dining
DEBIT,2026-03-23,QUIPU CALLAO 03/21,-5.02,DEBIT_CARD,202.46,Food & Dining
DEBIT,2026-03-23,LA LUCHA CALLAO 03/21,-8.0,DEBIT_CARD,207.48,Food & Dining
DEBIT,2026-03-23,GRAU C12 LIMA 03/21 Nuevo Sol 2.29 X 0.2882096 (EXCHG RTE),-0.66,DEBIT_CARD,215.48,Shopping
DEBIT,2026-03-23,T5113 LARCO LIMA 03/21 Nuevo Sol 29.90 X 0.2876254 (EXCHG RTE),-8.6,DEBIT_CARD,216.14,Shopping
