Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,4/7/2026,PYMT SENT                APPLE CASH SENT MONEY    CUPERTINO     CA                                                                                                                                                                                                                                                                        0812,-7.75,MISC_DEBIT, ,
DEBIT,4/7/2026,PYMT SENT                APPLE CASH SENT MONEY    CUPERTINO     CA                                                                                                                                                                                                                                                                        0812,-2.5,MISC_DEBIT, ,
DEBIT,4/6/2026,SAMA GOURMET MARKET NEW YORK NY              04/04,-8.32,DEBIT_CARD,24.9,
DEBIT,4/6/2026,Amazon.com*B78CZ2PF2 Amzn.com/bill WA        04/04,-25,DEBIT_CARD,33.22,
CREDIT,4/6/2026,ATM CASH DEPOSIT 04/06 940 EASTON AVE SOMERSET NJ,20,ATM,58.22,
CREDIT,4/6/2026,ATM CASH DEPOSIT 04/04 475 MAIN ST METUCHEN NJ,40,ATM,38.22,
DEBIT,3/25/2026,CHATURBILL 888-384-084 888-3840848 CA        03/23,-10.99,DEBIT_CARD,-1.78,
DEBIT,3/25/2026,CHATURBILL 888-384-0848 CA                   03/24,-20.99,DEBIT_CARD,9.21,
DEBIT,3/24/2026,CHATURBILL 888-384-0848 CA                   03/23,-10.99,DEBIT_CARD,30.2,
DEBIT,3/24/2026,CHATURBILL 888-384-0848 CA                   03/23,-39.99,DEBIT_CARD,41.19,
DEBIT,3/24/2026,CHATURBILL 888-384-0848 CA                   03/23,-10.99,DEBIT_CARD,81.18,
DEBIT,3/24/2026,APPLE CASH SENT MONE 1INFINITELOOP CA        03/23,-15,DEBIT_CARD,92.17,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/21GRAU C12,-0.01,FEE_TRANSACTION,107.17,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/20HOGAR Y S,-0.18,FEE_TRANSACTION,107.18,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/21T5113 LAR,-0.25,FEE_TRANSACTION,107.36,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/21CIGARRERI,-0.41,FEE_TRANSACTION,107.61,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/20IZI*POS H,-0.54,FEE_TRANSACTION,108.02,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/21CREACIONE,-0.68,FEE_TRANSACTION,108.56,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/20NIKE LARC,-0.79,FEE_TRANSACTION,109.24,
DEBIT,3/23/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/21ARTESANIA,-0.8,FEE_TRANSACTION,110.03,
DEBIT,3/23/2026,FD Sptsbk Casino payment    41U3279JVQ      WEB ID: 2852295126,-8,MISC_DEBIT,110.83,
DEBIT,3/23/2026,ARTESANIAS DOFF BOGOTA                       03/21 CO Peso    99000.00 X 0.000270808 (EXCHG RTE),-26.81,DEBIT_CARD,118.83,
DEBIT,3/23/2026,CREACIONES MIPELLE BOGOTA                    03/21 CO Peso    84900.00 X 0.000270789 (EXCHG RTE),-22.99,DEBIT_CARD,145.64,
DEBIT,3/23/2026,CIGARRERIA INTERNACION BOGOTA                03/21 CO Peso    51000.00 X 0.000270784 (EXCHG RTE),-13.81,DEBIT_CARD,168.63,
DEBIT,3/23/2026,MPOS-AVIANCA PANAMA                          03/21,-5,DEBIT_CARD,182.44,
DEBIT,3/23/2026,QUIPU CALLAO                                 03/21,-5.02,DEBIT_CARD,187.44,
DEBIT,3/23/2026,LA LUCHA CALLAO                              03/21,-10,DEBIT_CARD,192.46,
DEBIT,3/23/2026,QUIPU CALLAO                                 03/21,-5.02,DEBIT_CARD,202.46,
DEBIT,3/23/2026,LA LUCHA CALLAO                              03/21,-8,DEBIT_CARD,207.48,
DEBIT,3/23/2026,GRAU C12 LIMA                                03/21 Nuevo Sol  2.29 X 0.2882096 (EXCHG RTE),-0.66,DEBIT_CARD,215.48,
DEBIT,3/23/2026,T5113 LARCO LIMA                             03/21 Nuevo Sol  29.90 X 0.2876254 (EXCHG RTE),-8.6,DEBIT_CARD,216.14,
DEBIT,3/23/2026,HOGAR Y SALUD  - MIR Puente Piedra           03/20 Nuevo Sol  21.50 X 0.2874419 (EXCHG RTE),-6.18,DEBIT_CARD,224.74,
DEBIT,3/23/2026,NIKE LARCOMAR LIMA                           03/20 Nuevo Sol  91.70 X 0.2874591 (EXCHG RTE),-26.36,DEBIT_CARD,230.92,
DEBIT,3/23/2026,IZI*POS HOTEL LLAQTA WA LIMA                 03/20 Nuevo Sol  63.00 X 0.2893651 (EXCHG RTE),-18.23,DEBIT_CARD,257.28,
